16_wpf_data_ID1_3_[(300, 288)]_hs32_nl2_zs64_ssam50_zsam50_bf50_ep700_lr0.001_dr0.01_sf0.0002
16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.20862542713835303,mae:0.3585287334073847,mape:227.52017892322002

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1925916718307946,mae:0.33691405938301666,mape:202.99606706296157

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf10_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.19963419429910134,mae:0.34700942090856196,mape:228.8070227572058

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.19482273066492561,mae:0.33553193914367313,mape:221.62384141081114

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.2012785076379271,mae:0.3434298082073597,mape:190.46183031043688

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.21073693518318706,mae:0.3493820733721224,mape:191.51152706478746

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.20364878337539272,mae:0.33760520081479756,mape:179.3144046203455

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.18582791255629538,mae:0.3280942939937212,mape:172.86208370035803

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1640547676617159,mae:0.30607479708954666,mape:214.61145812650165

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.17616753153425713,mae:0.3065277565641706,mape:222.35243695772323

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.17485175105626483,mae:0.3094512925558319,mape:193.3234188956743

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.14302740135001274,mae:0.2883028653965357,mape:215.93561688649632

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam5_zsam5_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.1665250216375846,mae:0.3010534552034953,mape:231.1521192674568

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.22111786318298357,mae:0.35791893446774864,mape:135.82743003419841

16_ETT_3_[(820, 800)]_hs96_nl2_zs128_ssam10_zsam10_bf100_ep2000_lr0.001_dr0.01_sf0.0002  
result:test>>>step:800, mse:0.16209888223990201,mae:0.31272151726605585,mape:140.1361491604004

